salesdata
;orderId;orderState;customer;product;orderDate;orderAmountInCents;Currency
0;4;0;bcbca51791;fe2a87eff5;2019-10-22 15:01:15.607;;USD
1;15;0;b55cf3f5e6;fe2a87eff5;2019-11-15 11:04:52.019;;USD
2;24;0;0f29b6affa;fe2a87eff5;2019-11-20 14:52:53.896;;USD
3;937;4;499a7f297d;f9c580224e;2019-11-24 16:33:50.736;249,00000000000000;USD
4;949;7;586ddb8506;f9c580224e;2019-11-25 18:24:33.514;0,0;USD
5;951;4;dab9bb909b;fe2a87eff5;2019-11-26 08:48:22.273;48970,00000000000;USD
6;952;7;71375323db;98ac5d1ffd;2019-11-26 17:47:14.292;0,0;USD
7;8;0;bcbca51791;fe2a87eff5;2019-11-03 20:59:09.779;;USD
8;9;0;146e20c088;fe2a87eff5;2019-11-04 12:53:18.114;;USD
9;29;0;8e81e42745;fe2a87eff5;2019-11-22 13:39:13.483;;USD
10;30;0;467c448ecb;fe2a87eff5;2019-11-22 18:48:36.793;;USD
11;928;7;20300787ea;f9c580224e;2019-11-24 14:44:26.913;249,00000000000000;USD
12;950;4;6da27d6079;fe2a87eff5;2019-11-25 19:41:18.611;48970,00000000000;USD
13;954;0;71375323db;fe2a87eff5;2019-11-26 17:47:47.594;0,0;USD
14;3;0;bcbca51791;fe2a87eff5;2019-10-17 21:35:39.430;;USD
15;1;0;bcbca51791;fe2a87eff5;2019-10-14 20:53:22.862;;USD
16;934;7;20300787ea;f9c580224e;2019-11-24 16:27:28.140;249,00000000000000;USD
17;11;0;50dce3ccf2;fe2a87eff5;2019-11-10 23:00:29.973;;USD
18;943;7;c48b88dfa1;f9c580224e;2019-11-24 19:49:44.791;0,0;USD
19;5;0;bcbca51791;fe2a87eff5;2019-10-22 15:05:13.820;;USD
20;10;0;213ecb9747;fe2a87eff5;2019-11-10 21:43:20.703;;USD
21;25;0;63fb7ad0bd;fe2a87eff5;2019-11-21 10:06:18.447;;USD
22;28;0;89e2706871;fe2a87eff5;2019-11-22 11:38:57.196;;USD
23;924;7;499a7f297d;fe2a87eff5;2019-11-22 21:12:48.464;48970,00000000000;USD
24;927;0;499a7f297d;fe2a87eff5;2019-11-23 13:56:24.079;48970,00000000000;USD
25;948;7;586ddb8506;f9c580224e;2019-11-25 18:24:22.428;0,0;USD
26;940;0;499a7f297d;fe2a87eff5;2019-11-24 16:34:56.663;249,00000000000000;USD
27;7;0;bcbca51791;fe2a87eff5;2019-11-03 20:54:57.121;;USD
28;941;0;c76fd271da;fe2a87eff5;2019-11-24 18:32:09.832;48970,00000000000;USD
29;953;7;71375323db;98ac5d1ffd;2019-11-26 17:47:19.003;0,0;USD
30;13;0;8b2e6ee76c;fe2a87eff5;2019-11-14 10:05:02.271;;USD
31;929;7;20300787ea;f9c580224e;2019-11-24 14:44:31.683;249,00000000000000;USD
32;935;7;20300787ea;f9c580224e;2019-11-24 16:27:51.772;249,00000000000000;USD
33;946;7;586ddb8506;f9c580224e;2019-11-25 18:24:14.078;0,0;USD
34;947;7;586ddb8506;f9c580224e;2019-11-25 18:24:19.910;0,0;USD
35;957;7;3e1e003483;98ac5d1ffd;2019-11-27 13:44:54.046;0,0;USD
36;12;0;4429be51cd;fe2a87eff5;2019-11-10 23:07:46.415;;USD
37;27;0;f6f75db77f;fe2a87eff5;2019-11-22 01:50:20.439;;USD
38;932;0;499a7f297d;fe2a87eff5;2019-11-24 15:54:25.619;249,00000000000000;USD
39;16;0;77a6e19174;fe2a87eff5;2019-11-17 21:05:02.468;;USD
40;17;0;7a0c63b1f6;fe2a87eff5;2019-11-18 10:39:49.599;;USD
41;19;0;0d6faa8c7b;fe2a87eff5;2019-11-18 14:32:17.074;;USD
42;945;4;880745b9a4;fe2a87eff5;2019-11-24 20:45:59.363;48970,00000000000;USD
43;21;0;7e75c0d723;fe2a87eff5;2019-11-18 17:40:44.694;;USD
44;20;0;48906e50f1;fe2a87eff5;2019-11-18 17:36:56.568;;USD
45;22;0;3ce3ac2549;fe2a87eff5;2019-11-19 05:13:33.338;;USD
46;6;0;bcbca51791;fe2a87eff5;2019-10-24 06:03:37.714;;USD
47;14;0;4429be51cd;fe2a87eff5;2019-11-14 10:22:20.862;;USD
48;939;7;499a7f297d;f9c580224e;2019-11-24 16:34:39.648;249,00000000000000;USD
49;925;7;feef3181dc;f9c580224e;2019-11-23 13:23:16.581;0,0;USD
50;26;0;303ce41491;fe2a87eff5;2019-11-21 13:44:47.714;;USD
51;944;0;46200f6469;fe2a87eff5;2019-11-24 20:39:12.188;48970,00000000000;USD
52;956;0;710a2f61cf;fe2a87eff5;2019-11-27 13:24:33.126;48970,00000000000;USD
53;2;0;bcbca51791;fe2a87eff5;2019-10-17 21:34:36.390;;USD
54;23;0;e78769ac08;fe2a87eff5;2019-11-19 15:23:40.673;;USD
55;18;0;7190c45e78;fe2a87eff5;2019-11-18 12:26:09.708;;USD
56;930;4;20300787ea;f9c580224e;2019-11-24 14:44:39.827;415,00000000000000;USD
57;931;0;a73af0663b;fe2a87eff5;2019-11-24 15:29:56.217;249,00000000000000;USD
58;936;7;20300787ea;f9c580224e;2019-11-24 16:28:23.747;249,00000000000000;USD
59;938;7;499a7f297d;f9c580224e;2019-11-24 16:34:32.194;249,00000000000000;USD
60;942;7;c48b88dfa1;f9c580224e;2019-11-24 19:49:38.612;0,0;USD
61;926;7;feef3181dc;f9c580224e;2019-11-23 13:23:27.997;0,0;USD
